Brand,Product Name,Category,All Ingredients,Skin Type,Price,Benefits,Rating,Total Ratings,Product URL 
COSRX,Advanced Snail Mucin 96 Power Essence,Essence,"Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Allantoin, Ethyl Hexanediol, Carbomer, Panthenol, Arginine",All,25,"Fades dark spots, Improves skin texture, Anti-aging, Intense hydration",4.6,"78,342 ratings",https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K
COSRX,Centella Blemish Cream,Face Cream & Lotion,"Centella Asiatica Leaf Water, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Zinc Oxide, Dimethicone, Betaine, 1,2-Hexanediol, Viola Tricolor Extract, Elaeis Guineensis(Palm) oil, Elaeis Guineensis(Palm) Kernel Oil, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Centella Asiatica Extract, Zinc PCA, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum , Melaleuca Alternifolia (Tea Tree) Leaf Oil, Scutellaria Baicalensis Root Extract",Sensitive,21,"Soothe sensitive & irritated skin, Calm inflamed red skin, Prevent dark acne scar",4.4,"2,386 ratings",https://www.amazon.com/COSRX-Centella-Blemish-Cream-30ml/dp/B00XY0ONRY
COSRX,AC Collection Lightweight Soothing Moisturizer,Face Cream & Lotion,"Propolis Extract, Aloe Barbadensis Leaf Water, Camellia Sinensis Leaf Water, Butylene Glycol, Cetyl Ethylhexanoate, Glycerin, 1,2-Hexanediol, Niacinamide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cyclomethicone, Cetearyl Olivate, Betaine, Cetearyl Alcohol, Sorbitan Olivate, Panthenol, Ethylhexylglycerin, Allantoin, Xanthan gum, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Hyaluronate, Arginine, Zinc PCA, Betaine Salicylate, Mentha Haplocalix Extract, Menthyl Lactate, Citric Acid, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Asiaticoside, Asiatic Acid, Madecassic Acid","Oily, Combination, Acne Prone",19,"	
Hypoallergenic,Moisturizing,Non-comedogenic,Soothing",4.4,388 ratings,https://www.amazon.com/COSRX-Collection-Lightweight-Soothing-Moisturizer/dp/B07X2XC9KV
COSRX,Full Fit Propolis Light Cream,Face Cream & Lotion,"Propolis Extract, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, 1,2-Hexanediol, Honey Extract, Royal Jelly Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cassia Obtusifolia Seed Extract, Cetearyl Olivate, Beeswax, Cetearyl Alcohol, Sorbitan Olivate, Allantoin, Arginine, Carbomer, Xanthan Gum",All,32,"Nourishes for healthy skin, Replenish moisture, Enhance radiance, Diminish fine lines",4.6,"2,422 ratings",https://www.amazon.com/COSRX-Hydrating-Lightweight-Moisturizer-Phthalates/dp/B07XFLYN6X
COSRX,One Step Original Clear Pads,Toner,"Salix Alba (Willow) Bark Water, Butylene Glycol, Glycerin, Betaine Salicylate, 1,2-Hexanediol, Arginine, PEG-60 Hydrogenated Castor Oil, Panthenol, Allantoin, Ethyl Hexanediol, Citrus Aurantium Dulcis (Orange) Peel Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Hydroxide, Sodium Hyaluronate",All,20.5,"Penetrates deeply into the pores, Helps clear clogged pores, Exfoliates dead skin cell",4.6,"2,796 ratings",https://www.amazon.com/COSRX-Exfoliating-Blackheads-Minimize-Breakouts/dp/B01LZJ3LN7
COSRX,AHA 7 Whitehead Power Liquid,Toner,"Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Glycolic Acid, Niacinamide, Sodium Hydroxide, 1,2-Hexanediol, Panthenol, Sodium Hyaluronate, Xanthan Gum, Ethyl Hexanediol","Oily, Combination, Dry, Normal",22,"Exfoliating & brightening, Clear whiteheads, Promote skin cell turnover, Remove dead skin cell",4.3,"2,389 ratings",https://www.amazon.com/COSRX-Whitehead-Power-Liquid-100ml/dp/B00OZ9WOD8
COSRX,The 6 Peptide Skin Booster Serum,Face Serum,"Water, Dipropylene Glycol, Glycerin, Pentylene Glycol, 1,2-Hexanediol, Niacinamide, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyacrylate Crosspolymer-6, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Adenosine, Polyquaternium-51, Disodium EDTA, Citric Acid, Caprylyl Glycol, Betaine, t-Butyl Alcohol, Sodium PCA, Sodium Lactate, Acetyl Hexapeptide-8, Copper Tripeptide-1, PCA, sh-Polypeptide-121, Serine, Alanine, Allantoin, Sodium Hyaluronate, Acetyl Glucosamine, Glycine, Glutamic Acid, Lysine HCl, Threonine, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Arginine, Tocopherol, Oligopeptide-68, Proline, Dextran, Palmitoyl Tripeptide-8, Glycine Soja (Soybean) Oil, Hydrogenated Lecithin, Potassium Sorbate, Sodium Oleate",All,25,"addresses multiple skin issues like pores, excess sebum, fine lines, and uneven skin texture and tone",4.6,"3,466 ratings",https://www.amazon.com/COSRX-Collagen-Boosting-Niacinamide-Hyaluronic/dp/B0CCJ3SRB9
COSRX,Hydrium Triple Hyaluronic Water Wave Sheet Mask,Face Sheet Mask,"Water, Butylene Glycol, Alcohol, Panthenol, Betaine, 1,2-Hexanediol, Paeonia Suffruticosa Root Extract, Centella, Asiatica Extract, Polyglyceryl-10 Laurate, Chamomilla Recutita (Matricaria) Flower Extract, Glyceryl Caprylate, Arginine, Xanthan Gum, Carbomer, Sodium Hyaluronate, Ethylhexylglycerin, Disodium EDTA, Pantolactone, Eucalyptus Globulus Leaf Oil, Hydrolyzed Hyaluronic Acid, Diethylhexyl Sodium Sulfosuccinate, Dipropylene Glycol, Sodium Acetylated, Hyaluronate",Dry,9.99,"Hydrates and maintains the skin with triple hyaluronic acid, Eco-friendly, bio-degradable sheet mask,  Light-weight, watery texture, Rejuvenates effect to dehydrated, heated skin",4.5,29 ratings,https://www.amazon.com/COSRX-Triple-Hyaluronic-Cruelty-Paraben/dp/B088WL7S5K
COSRX,Hydrium Green Tea Aqua Soothing Gel Cream,Face Gel,"Water, Propanediol, Camellia Sinensis Leaf Extract, Glycerin, Pentylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Tromethamine, Butylene Glycol, Cetearyl Olivate, Sorbitan Olivate, Allantoin, Aloe Ferox Leaf Extract, Ethylhexylglycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Disodium EDTA, Hydrolyzed Hibiscus Esculentus Extract, Lupinus Albus Seed Extract, Moringa Oleifera Seed Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract",All,25,"Cooling relief, Delivers hydration, Soothing & Calming, Jelly-like texture for quick absorption",4.2,757 ratings,https://www.amazon.com/COSRX-Hydrium-Green-Soothing-Cream/dp/B07RNWB3DZ
COSRX,The Retinol 0.1 Cream,Face Cream & Lotion,"Water, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Tocopheryl Acetate, Cetearyl Alcohol, Trehalose, Panthenol, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Oil, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone, Glyceryl Polymethacrylate, Helianthus Annuus (Sunflower) Seed Oil, Polyglyceryl-10 Stearate, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Tromethamine, Glyceryl Stearate, Polysilicone-11, Sodium Sulfite, Tocopherol, Daucus Carota Sativa (Carrot) Root Extract, Retinol(0.1%), Allantoin, Glyceryl Caprylate, Oryza Sativa (Rice) Bran Wax, Tocotrienols, Stearic Acid, Polyglyceryl-3 Methylglucose Distearate, Palmitic Acid, Disodium EDTA, Ethylhexylglycerin, Adenosine, Sorbitan Isostearate, Elaeis Guineensis (Palm) Oil, BHT, Beta-Carotene, Myristic Acid, Lauric Acid, Ascorbic Acid, Limnanthes Alba (Meadowfoam) Seed Oil, 3-O-Ethyl Ascorbic Acid, Glutathione, Sodium Hyaluronate, 1,2-Hexanediol, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Sodium Acetylated Hyaluronate
PROVEN RESULTS
VIDEO
FAQ","All, Aging",27,"Hypoallergenic, Anti Aging. Suitable for those concerned with wrinkles, fine lines, and loss of skin elasticity. It also benefits acne-prone skin by helping to reduce pore size and improve skin texture.",4.4,"2,395 ratings",https://www.amazon.com/COSRX-Anti-aging-Retinoid-Treatment-Wrinkles/dp/B0B5DKJ8TS
COSRX,The Retinol 0.5 Oil,Face Oil,"Squalane, Glycine Soja (Soybean) Oil, Di-C12-13 Alkyl Malate, Retinol(0.5%), Caprylic/Capric Triglyceride, BHT, Tocotrienols, Tocopherol, Elaeis Guineensis (Palm) Oil, Hydroxymethoxyphenyl Decanone","All, Aging",27,"Anti Aging. Suitable for those concerned with wrinkles, fine lines, and loss of skin elasticity.Helps to reduce pore size and improve skin texture.",4.5,"2,118 ratings",https://www.amazon.com/COSRX-Anti-aging-Retinoid-Treatment-Wrinkles/dp/B0B5DHH6S4
