Brand,Product Name,Price,Product Rating,URL
The Ordinary,The Ordinary Glycolic Acid 7% Toning Solution - 240ml,"Rs.7,199",5.00,https://cozmetica.pk/products/the-ordinary-glycolic-acid-7-tonning-solution-240-ml?_pos=6&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Hyaluronic Acid 2% + B5,"Rs.3,799",4.80,https://cozmetica.pk/products/the-ordinary-hyaluronic-acid-2-b5-30ml?_pos=7&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Alpha Arbutin 2% + HA - 30ml,"Rs.5,100",4.78,https://cozmetica.pk/products/the-ordinary-alpha-arbutin-2-ha-30ml?_pos=8&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Soothing & Barrier Support Serum,"Rs.8,699",0.00,https://cozmetica.pk/products/the-ordinary-soothing-barrier-support-serum?_pos=9&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Caffeine Solution 5% + EGCG - 30ml,"Rs.4,199",5.00,https://cozmetica.pk/products/the-ordinary-caffeine-solution-5-egcg-30ml?_pos=10&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Vitamin C Suspension 23% + HA Spheres 2% Size - 30ml,"Rs.3,799",5.00,https://cozmetica.pk/products/the-ordinary-vitamin-c-suspension-23-ha-spheres-2-size-30ml?_pos=11&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Resvertrol 3% Ferulic Acid 3% 30 Ml,"Rs.3,649",0.00,https://cozmetica.pk/products/the-ordinary-resvertrol-3-ferulic-acid-3-30-ml?_pos=12&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Glycolipid Cream Cleanser 150ml,"Rs.6,899",0.00,https://cozmetica.pk/products/the-ordinary-glycolipid-cream-cleanser-150ml?_pos=13&_sid=1bc1ab66a&_ss=r
The Ordinary,Kocostar Plump Lip Capsule Mask - 7 Capsules,Rs.843,0.00,https://cozmetica.pk/products/copy-of-kocostar-pink-lip-mask?_pos=14&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Vitamin C Suspension 30% In Silicone - 30ml,"Rs.3,899",5.00,https://cozmetica.pk/products/the-ordinary-vitamin-c-suspension-30-in-silicone-30ml?_pos=15&_sid=1bc1ab66a&_ss=r
Neutrogena,Neutrogena Hydro Boost Water Gel - 50ml,"Rs.2,499",4.72,https://cozmetica.pk/products/neutrogena-hydro-boost-water-gel-50ml?_pos=1&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Hydro Boost Gel Cream Moisturizer - 50ml,"Rs.2,600",4.76,https://cozmetica.pk/products/neutrogena-hydro-boost-gel-cream-moisturizer-50ml?_pos=2&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Bright Boost Gel Cream 50ml,"Rs.3,999",5.00,https://cozmetica.pk/products/neutrogena-bright-boost-gel-cream-50ml?_pos=3&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Spot Controlling Facial Scrub 150ml,"Rs.1,350",0.00,https://cozmetica.pk/products/neutrogena-facial-scrub-visibly-clear-clear-protect-oil-free-150ml?_pos=4&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Fresh & Clear Pink Grapefruit Facial Wash - 200ml,,4.68,https://cozmetica.pk/products/neutrogena-fresh-clear-pink-grapefruit-facial-wash-200ml?_pos=5&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Deep Clean Invigorating Daily Scrub - 150ml,"Rs.1,750",5.00,https://cozmetica.pk/products/neutrogena-deep-clean-invigorating-daily-scrub-150ml?_pos=6&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Soothing Clear Mist Toner 125ml,"Rs.2,250",0.00,https://cozmetica.pk/products/neutrogena-soothing-clear-mist-toner-125ml?_pos=7&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Visibly Clear Pink Grapefruit Daily Scrub - 150ml,"Rs.2,275",4.67,https://cozmetica.pk/products/neutrogena-deep-clean-invigorating-daily-scrub-visibly-clear-pink-grapefruit-daily-scrub?_pos=8&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Deep Clean Gel Wash - 200ml,,4.58,https://cozmetica.pk/products/neutrogena-deep-clean-gel-wash-200ml-1?_pos=9&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Soothing Clear Micellar Jelly Makeup Remover 200ml,"Rs.2,499",0.00,https://cozmetica.pk/products/neutrogena-soothing-clear-micellar-jelly-makeup-remover-200ml?_pos=10&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Bright Boost Illuminating Serum 30ml,"Rs.3,999",0.00,https://cozmetica.pk/products/neutrogena-bright-boost-illuminating-serum-30ml?_pos=11&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Retinol Boost Day Cream Spf 15 - 50ml,"Rs.7,999",0.00,https://cozmetica.pk/products/neutrogena-retinol-boost-day-cream-spf-15-50ml?_pos=12&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Soothing Clear Mousse Cleanser 150ml,"Rs.2,499",0.00,https://cozmetica.pk/products/neutrogena-soothing-clear-mousse-cleanser-150ml?_pos=13&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Spot Controlling Facial Wash - 200ml,"Rs.2,516",4.78,https://cozmetica.pk/products/neutrogena-deep-clean-gel-wash-200ml?_pos=14&_sid=559b7f538&_ss=r
Neutrogena,Neutrogena Retinol Boost Eye Cream 15ml,"Rs.4,275",0.00,https://cozmetica.pk/products/neutrogena-retinol-boost-eye-cream-15ml?_pos=15&_sid=559b7f538&_ss=r
